review,liked
"Excellent product, highly recommend!",1
Poor customer service.,0
Exceeded my expectations!,1
Not worth the money.,0
Fantastic experience overall.,1
"Amazing product, will buy again.",1
Top-notch quality and service.,1
Top-notch quality and service.,1
Top-notch quality and service.,1
"Terrible quality, do not buy.",0
Superb value for money.,1
Poor customer service.,0
"Amazing product, will buy again.",1
Top-notch quality and service.,1
It broke after one use.,0
"Terrible quality, do not buy.",0
It broke after one use.,0
Defective item received.,0
Defective item received.,0
Great quality and fast delivery.,1
Very useful and reliable.,1
Top-notch quality and service.,1
Superb value for money.,1
Superb value for money.,1
Would not recommend.,0
Low quality material.,0
Very useful and reliable.,1
Very satisfied with the purchase.,1
Would not recommend.,0
Superb value for money.,1
Very useful and reliable.,1
Very useful and reliable.,1
Defective item received.,0
Very useful and reliable.,1
Superb value for money.,1
Great quality and fast delivery.,1
Fantastic experience overall.,1
Would not recommend.,0
Defective item received.,0
Top-notch quality and service.,1
Fantastic experience overall.,1
Not worth the money.,0
Poor customer service.,0
Fantastic experience overall.,1
Superb value for money.,1
Very satisfied with the purchase.,1
"Loved it, works perfectly.",1
"Terrible quality, do not buy.",0
Not worth the money.,0
"Loved it, works perfectly.",1
"product is damaged.",0
